text,video_url,created_at,fecha,likes,respuestas,_origen,fuente,text_clean,emojis
sujétame el cubata jajajajajaja,https://www.tiktok.com/@_.naiaraa._21/video/7304669289527676192,2024-01-09 17:41:59+00:00,2024-01-09,0,0,adolescente_donar_tiktok.csv,tiktok,sujétame el cubata jajajajajaja,
Los del 2010 ni siquiera pueden donar,https://www.tiktok.com/@nachter/video/7357337111676079392,2024-04-20 01:01:37+00:00,2024-04-20,0,0,dataset_tiktok-comments-scraper_2026-02-16_12-29-41-619.csv,tiktok,Los del 2010 ni siquiera pueden donar,
🗣🗣🗣SKIBIDI DOB DOB YES,https://www.tiktok.com/@nachter/video/7357337111676079392,2024-04-18 17:32:33+00:00,2024-04-18,0,0,dataset_tiktok-comments-scraper_2026-02-16_12-29-41-619.csv,tiktok,SKIBIDI DOB DOB YES,🗣🗣🗣
"del 97 , y si 😅",https://www.tiktok.com/@nachter/video/7357337111676079392,2025-09-06 04:28:01+00:00,2025-09-06,0,0,dataset_tiktok-comments-scraper_2026-02-16_12-29-41-619.csv,tiktok,"del 97 , y si",😅
Lo gracioso es que soy del 2000 y me hace gracia de que tengo la actitud del 70-80,https://www.tiktok.com/@nachter/video/7357337111676079392,2024-05-03 09:48:35+00:00,2024-05-03,0,0,dataset_tiktok-comments-scraper_2026-02-16_12-29-41-619.csv,tiktok,Lo gracioso es que soy del 2000 y me hace gracia de que tengo la actitud del 70-80,
Es totalmente cierto!!! Ojalá todos fuéramos donantes y ayudar a las personas que lo necesitan!!,https://www.tiktok.com/@nachter/video/7357337111676079392,2024-04-16 13:09:08+00:00,2024-04-16,1,0,dataset_tiktok-comments-scraper_2026-02-16_12-29-41-619.csv,tiktok,Es totalmente cierto!!! Ojalá todos fuéramos donantes y ayudar a las personas que lo necesitan!!,
Y recuerden q es un beneficio también para el donante pues hará sangre nueva y eso es sano para todos los órganos y la piel,https://www.tiktok.com/@nachter/video/7357337111676079392,2024-04-15 18:43:45+00:00,2024-04-15,0,0,dataset_tiktok-comments-scraper_2026-02-16_12-29-41-619.csv,tiktok,Y recuerden q es un beneficio también para el donante pues hará sangre nueva y eso es sano para todos los órganos y la piel,
dónde puedo donar??,https://www.tiktok.com/@nachter/video/7357337111676079392,2024-04-13 13:27:06+00:00,2024-04-13,1,1,dataset_tiktok-comments-scraper_2026-02-16_12-29-41-619.csv,tiktok,dónde puedo donar??,
Gracias a las donaciones de Sangre estoy viva. Gracias por salvar vidas chicos 💕,https://www.tiktok.com/@nachter/video/7357337111676079392,2024-05-09 01:48:28+00:00,2024-05-09,0,0,dataset_tiktok-comments-scraper_2026-02-16_12-29-41-619.csv,tiktok,Gracias a las donaciones de Sangre estoy viva. Gracias por salvar vidas chicos,💕
Te faltó decir que los 2010 que cobrar jsjsjs,https://www.tiktok.com/@nachter/video/7357337111676079392,2024-04-13 16:16:20+00:00,2024-04-13,0,0,dataset_tiktok-comments-scraper_2026-02-16_12-29-41-619.csv,tiktok,Te faltó decir que los 2010 que cobrar jsjsjs,
